location;date;trend;day;month
Spain;2020-01-08;Albert Abascal;08;01
Spain;2020-01-08;Lidón;08;01
Spain;2020-01-08;Gil Manzano;08;01
Spain;2020-01-08;Leguina;08;01
Spain;2020-01-08;Robinson;08;01
Spain;2020-01-08;Kondogbia;08;01
Spain;2020-01-08;Lukita;08;01
Spain;2020-01-08;Meghan;08;01
Spain;2020-01-08;Gameiro;08;01
Spain;2020-01-08;Carlos Martínez;08;01
Spain;2020-01-08;Marcelo;08;01
Spain;2020-01-08;Parejo;08;01
Spain;2020-01-08;Mariano;08;01
Spain;2020-01-08;Jaume;08;01
Spain;2020-01-08;Rubiales;08;01
Spain;2020-01-08;#ElGranDictador;08;01
Spain;2020-01-08;Jovic;08;01
Spain;2020-01-08;#FirstDates8E;08;01
Spain;2020-01-08;#YoVoyATeruel;08;01
Spain;2020-01-08;Isco;08;01
Spain;2020-01-08;Modric;08;01
Spain;2020-01-08;#SmithLawrenceEH;08;01
Spain;2020-01-08;#PlanetaCalleja;08;01
Spain;2020-01-08;#ValenciaRealMadrid;08;01
Spain;2020-01-08;#SomosLaAudiencia8E;08;01
Spain;2020-01-08;#8Ene;08;01
Spain;2020-01-08;#jugones;08;01
Spain;2020-01-08;#Cecotec;08;01
Spain;2020-01-08;#VictorSanchezDelAmo;08;01
Spain;2020-01-09;#frac1;09;01
Spain;2020-01-09;#DakarTVE9EN;09;01
Spain;2020-01-09;#IglesiasMotaEH;09;01
Spain;2020-01-09;#PokemonEXNintenderosIG;09;01
Spain;2020-01-09;González González;09;01
Spain;2020-01-09;MYHYV;09;01
Spain;2020-01-09;VARcelona;09;01
Spain;2020-01-09;lodi;09;01
Spain;2020-01-09;Robo;09;01
Spain;2020-01-09;Ansu Fati;09;01
Spain;2020-01-09;Zalgiris;09;01
Spain;2020-01-09;Roma y Liverpool;09;01
Spain;2020-01-09;Saúl;09;01
Spain;2020-01-09;Sergi Roberto;09;01
Spain;2020-01-09;Busquets;09;01
Spain;2020-01-09;Bartomeu;09;01
Spain;2020-01-09;Savic;09;01
Spain;2020-01-09;Morata;09;01
Spain;2020-01-09;Vitolo;09;01
Spain;2020-01-09;Llorente;09;01
Spain;2020-01-09;Umtiti;09;01
Spain;2020-01-09;Simeone;09;01
Spain;2020-01-09;Rubiales;09;01
Spain;2020-01-09;#CuentameQueNoche;09;01
Spain;2020-01-09;Cholo;09;01
Spain;2020-01-09;Vidal;09;01
Spain;2020-01-09;Griezmann;09;01
Spain;2020-01-09;Neto;09;01
