trend;start_lifetime;total_tweets;total_hashtags;total_mentions;total_reply_to;total_url;total_photo;total_retweets;total_likes;total_replies;total_interaction;tweet_count_01;tweet_count_12;tweet_count_23;tweet_count_34;tweet_count_45;tweet_count_56;tweet_count_67;tweet_vel_01;tweet_vel_12;tweet_vel_23;tweet_vel_34;tweet_vel_45;tweet_vel_56;tweet_vel_67;tweet_acc_01;tweet_acc_12;tweet_acc_23;tweet_acc_34;tweet_acc_45;tweet_acc_56;tweet_acc_67;user_count_01;user_count_12;user_count_23;user_count_34;user_count_45;user_count_56;user_count_67
salud;18;1982;1982;2106;2627;263;300;7372.0;46062.0;2508.0;55942.0;5;10;8;133;764;1230;1205;5;5;-2;125;631;466;-25;5;0;-7;127;506;-165;-491;4;8;7;128;726;1172;1140
realidad;18;3191;3191;3363;4499;461;350;13944.0;43706.0;7526.0;65176.0;7;7;0;192;1143;1999;2041;7;0;-7;192;951;856;42;7;-7;-7;199;759;-95;-814;5;5;0;165;969;1667;1677
jajaja;22;9419;9419;9775;13397;593;840;15643.0;71182.0;6618.0;93443.0;11;22;24;559;3610;6014;5774;11;11;2;535;3051;2404;-240;11;0;-9;533;2516;-647;-2644;10;20;22;532;3351;5581;5360
mientras;17;5095;5095;5572;8075;340;583;8926.0;38512.0;3490.0;50928.0;34;61;52;314;1910;3182;3099;34;27;-9;262;1596;1272;-83;34;-7;-36;271;1334;-324;-1355;17;35;36;285;1725;2878;2834
mientras;20;7586;7586;7888;10195;806;725;14872.0;63885.0;4511.0;83268.0;3;11;16;487;2837;4839;4730;3;8;5;471;2350;2002;-109;3;5;-3;466;1879;-348;-2111;3;10;15;459;2634;4474;4372
mientras;23;4073;4073;4204;6241;97;191;9520.0;60752.0;3544.0;73816.0;13;21;18;283;1562;2525;2480;13;8;-3;265;1279;963;-45;13;-5;-11;268;1014;-316;-1008;9;17;16;256;1431;2318;2277
enhorabuena;8;4075;4075;4146;6321;110;170;3156.0;22938.0;2366.0;28460.0;6;11;10;249;1569;2562;2490;6;5;-1;239;1320;993;-72;6;-1;-6;240;1081;-327;-1065;5;10;10;240;1478;2405;2352
ojala;21;2425;2425;2547;3397;199;290;7854.0;29294.0;2040.0;39188.0;0;0;0;170;928;1517;1497;0;0;0;170;758;589;-20;0;0;0;170;588;-169;-609;0;0;0;165;878;1430;1411
persona;20;7024;7024;7360;11044;450;528;12521.0;46971.0;5022.0;64514.0;10;22;22;408;2573;4429;4419;10;12;0;386;2165;1856;-10;10;2;-12;386;1779;-309;-1866;10;22;22;383;2396;4128;4102
persona;22;3359;3359;3448;5002;121;209;2965.0;20604.0;2506.0;26075.0;5;15;17;204;1254;2124;2083;5;10;2;187;1050;870;-41;5;5;-8;185;863;-180;-911;5;15;15;190;1193;2020;1980
persona;23;6907;6907;7172;10604;468;426;17500.0;62368.0;5539.0;85407.0;23;37;26;449;2665;4352;4193;23;14;-11;423;2216;1687;-159;23;-9;-25;434;1793;-529;-1846;21;34;25;420;2454;4020;3880
imagen;8;3441;3441;3702;5781;139;282;6831.0;25597.0;1772.0;34200.0;0;0;0;200;1352;2238;2089;0;0;0;200;1152;886;-149;0;0;0;200;952;-266;-1035;0;0;0;181;1136;1838;1729
oportunidad;8;4474;4474;4564;6323;140;220;4229.0;28359.0;3195.0;35783.0;9;18;17;242;1693;2853;2755;9;9;-1;225;1451;1160;-98;9;0;-10;226;1226;-291;-1258;9;17;14;226;1561;2647;2585
parte;13;3347;3347;3668;5082;281;362;7658.0;32822.0;5018.0;45498.0;7;12;10;214;1296;2145;2034;7;5;-2;204;1082;849;-111;7;-2;-7;206;878;-233;-960;5;10;10;203;1172;1921;1822
parte;18;3734;3734;3874;5272;415;337;14310.0;42056.0;3545.0;59911.0;5;10;9;250;1439;2332;2281;5;5;-1;241;1189;893;-51;5;0;-6;242;948;-296;-944;5;10;9;240;1327;2131;2086
parte;20;6181;6181;6337;8578;377;472;10531.0;50385.0;4603.0;65519.0;13;22;15;368;2308;3925;3845;13;9;-7;353;1940;1617;-80;13;-4;-16;360;1587;-323;-1697;12;20;14;344;2145;3661;3596
parte;22;2238;2238;2352;3133;98;168;4408.0;16757.0;1325.0;22490.0;0;0;6;128;872;1442;1360;0;0;6;122;744;570;-82;0;0;6;116;622;-174;-652;0;0;5;126;851;1397;1317
momento;10;6887;6887;7052;10657;250;414;11018.0;51076.0;5386.0;67480.0;6;21;21;411;2655;4346;4205;6;15;0;390;2244;1691;-141;6;9;-15;390;1854;-553;-1832;6;21;21;388;2420;3990;3892
momento;16;4156;4156;4238;4903;85;245;6492.0;31305.0;3658.0;41455.0;12;29;25;259;1571;2645;2548;12;17;-4;234;1312;1074;-97;12;5;-21;238;1078;-238;-1171;10;26;24;242;1462;2461;2391
momento;18;2926;2926;3180;4531;220;338;4798.0;23503.0;2610.0;30911.0;4;10;11;168;1096;1865;1815;4;6;1;157;928;769;-50;4;2;-5;156;771;-159;-819;4;8;8;151;953;1607;1589
momento;21;2701;2701;2842;3824;231;273;6213.0;24902.0;2235.0;33350.0;0;5;10;185;1020;1718;1671;0;5;5;175;835;698;-47;0;5;0;170;660;-137;-745;0;5;10;171;968;1627;1584
momento;23;4598;4598;4719;6520;174;298;9009.0;36244.0;4631.0;49884.0;8;8;7;271;1804;2950;2779;8;0;-1;264;1533;1146;-171;8;-8;-1;265;1269;-387;-1317;8;8;7;255;1685;2754;2593
#valladolid;14;4133;4133;4242;4588;1322;536;25113.0;88266.0;4183.0;117562.0;1;4;9;216;1494;2664;2629;1;3;5;207;1278;1170;-35;1;2;2;202;1071;-108;-1205;1;4;8;206;1358;2408;2385
